Time,Latitude,Longitude,Intensity
20050918  0000,14.3,-111.4,20
20050918  0600,14.7,-112.4,20
20050918  1200,15.0,-113.0,30
20050918  1800,15.2,-114.1,35
20050919  0000,15.4,-115.0,35
20050919  0600,16.0,-116.0,45
20050919  1200,16.4,-116.5,55
20050919  1800,17.2,-116.9,60
20050920  0000,18.0,-117.4,65
20050920  0600,18.7,-118.1,65
20050920  1200,19.3,-118.8,70
20050920  1800,19.9,-119.3,65
20050921  0000,20.7,-119.7,65
20050921  0600,21.2,-120.0,60
20050921  1200,21.4,-120.4,55
20050921  1800,21.7,-121.0,45
20050922  0000,21.8,-121.3,40
20050922  0600,21.7,-121.7,35
20050922  1200,21.8,-122.4,30
20050923  0000,14.8,-108.5,30
20050923  0600,14.9,-109.1,30
20050923  1200,15.0,-109.6,35
20050923  1800,15.2,-109.9,40
20050924  0000,15.4,-110.2,40
20050924  0600,15.7,-110.4,45
20050924  1200,16.0,-110.6,45
20050924  1800,16.3,-110.8,50
20050925  0000,16.7,-111.0,45
20050925  0600,17.1,-111.2,45
20050925  1200,17.6,-111.7,45
20050925  1800,18.0,-112.2,45
20050926  0000,18.5,-112.8,40
20050926  0600,19.0,-113.4,40
20050926  1200,19.6,-114.0,35
20050926  1800,20.3,-114.7,30
20050927  0000,21.0,-115.3,30
20050927  0600,21.6,-116.1,25
20050927  1200,22.0,-116.7,25
20050927  1800,22.3,-117.3,25
20050928  0000,22.3,-117.8,20
20050928  0600,22.2,-118.3,20
20050928  1200,21.9,-118.7,20
20050928  1800,21.5,-119.0,20
20050929  0000,21.1,-119.4,20
20050929  0600,20.6,-119.9,20
20050929  1200,20.0,-120.4,20
20050929  1800,19.5,-120.7,20
20050930  0000,19.2,-120.7,20
20050930  0600,18.9,-120.5,15
20050930  1200,18.8,-120.2,15
20050930  1800,18.7,-119.9,15
20051001  0000,18.6,-119.5,15
20050928  0000,17.2,-104.9,25
20050928  0600,16.9,-105.3,30
20050928  1200,16.8,-105.7,30
20050928  1800,16.8,-106.1,30
20050929  0000,16.9,-106.6,30
20050929  0600,17.3,-107.2,35
20050929  1200,18.0,-108.1,40
20050929  1800,18.8,-108.7,45
20050930  0000,19.6,-109.3,55
20050930  0600,20.3,-110.0,65
20050930  1200,20.8,-110.5,70
20050930  1800,21.2,-110.9,75
20051001  0000,21.4,-111.2,80
20051001  0600,21.6,-111.5,90
20051001  1200,21.7,-111.7,85
20051001  1800,21.8,-111.9,75
20051002  0000,22.0,-111.9,70
20051002  0600,22.1,-112.0,65
20051002  1200,22.3,-112.1,55
20051002  1800,22.6,-112.3,45
20051003  0000,23.1,-112.3,45
20051003  0600,23.9,-112.7,40
20051003  1200,24.8,-112.9,30
20051003  1800,25.2,-113.1,25
20051004  0000,25.5,-113.3,25
20051004  0600,25.7,-113.3,20
20051004  1200,25.4,-113.1,20
20051004  1800,24.9,-112.6,20
20051005  0000,24.4,-112.1,20
20051005  0600,23.9,-111.4,20
20051005  1200,23.7,-110.7,20
20051015  0000,11.0,-101.2,30
20051015  0600,11.0,-101.4,30
20051015  1200,11.0,-101.6,30
20051015  1800,11.0,-101.8,30
20051016  0000,11.0,-102.1,30
20051016  0600,11.1,-102.5,30
20051016  1200,11.4,-103.2,30
20051016  1800,11.7,-103.8,30
20051017  0000,12.0,-104.4,30
20051017  0600,12.1,-105.1,30
20051017  1200,12.2,-105.8,30
20051017  1800,12.2,-106.6,30
20051018  0000,12.1,-107.5,25
20051018  0600,12.0,-108.4,25
20051018  1200,12.0,-109.3,25
20051018  1800,11.9,-110.3,25
20051019  0000,11.8,-111.3,25
20051019  0600,12.3,-112.3,25
20051019  1200,12.1,-113.5,30
20051019  1800,12.3,-114.7,30
20051020  0000,12.4,-115.6,30
20051020  0600,12.4,-116.7,30
20051020  1200,12.5,-117.8,30
20051020  1800,12.7,-118.9,25
20051021  0000,12.7,-119.6,25
20051021  0600,12.6,-120.2,20
20060527  0600,14.6,-101.5,25
20060527  1200,15.0,-100.9,30
20060527  1800,15.5,-100.7,35
20060528  0000,15.7,-101.1,35
20060528  0600,15.6,-101.4,40
20060528  1200,15.3,-101.2,40
20060528  1800,15.7,-101.0,40
20060529  0000,15.9,-101.1,40
20060529  0600,16.0,-101.3,35
20060529  1200,16.0,-101.5,35
20060529  1800,16.0,-101.7,30
20060530  0000,16.0,-102.1,30
20060530  0600,16.0,-102.5,30
20060530  1200,16.2,-103.2,25
20060530  1800,16.3,-103.5,25
20060531  0000,16.4,-103.7,25
20060603  1200,15.7,-103.0,25
20060603  1800,16.4,-102.5,30
20060604  0000,16.7,-102.3,30
20060604  0600,16.8,-101.8,30
20060604  1200,16.8,-101.1,25
20060604  1800,16.6,-100.1,25
20060605  0000,16.4,-99.3,25
20060711  0000,13.2,-110.3,30
20060711  0600,13.5,-111.0,40
20060711  1200,13.8,-111.7,50
20060711  1800,14.1,-112.6,60
20060712  0000,14.4,-113.5,75
20060712  0600,14.8,-114.6,80
20060712  1200,15.4,-115.7,85
20060712  1800,16.0,-116.9,90
20060713  0000,16.6,-118.2,100
20060713  0600,17.2,-119.8,110
20060713  1200,17.7,-121.3,100
20060713  1800,18.2,-122.7,90
20060714  0000,18.6,-124.0,75
20060714  0600,19.1,-125.3,60
20060714  1200,19.4,-126.5,50
20060714  1800,19.7,-127.8,40
20060715  0000,19.9,-129.2,35
20060715  0600,20.2,-130.7,30
20060715  1200,20.6,-132.2,25
20060715  1800,21.0,-133.7,25
20060716  0000,21.5,-135.2,25
20060716  0600,22.0,-136.8,25
20060716  1200,22.5,-138.3,20
20060716  1800,23.0,-139.8,20
20060717  0000,23.5,-141.3,20
20060717  0600,24.1,-143.0,20
20060717  1200,24.8,-144.8,20
20060712  0000,13.5,-102.2,30
20060712  0600,14.2,-103.4,35
20060712  1200,14.9,-104.8,40
20060712  1800,15.5,-106.1,50
20060713  0000,16.0,-107.3,60
20060713  0600,16.7,-108.7,65
20060713  1200,17.3,-109.8,70
20060713  1800,17.7,-110.8,75
20060714  0000,17.9,-111.7,70
20060714  0600,18.0,-112.4,70
20060714  1200,18.2,-113.2,65
20060714  1800,18.5,-114.0,60
20060715  0000,18.8,-115.0,70
20060715  0600,19.0,-116.0,65
20060715  1200,19.1,-117.0,60
20060715  1800,19.3,-118.0,55
20060716  0000,19.5,-119.0,45
20060716  0600,19.8,-120.0,35
20060716  1200,20.1,-121.0,30
20060716  1800,20.4,-121.9,30
20060717  0000,20.7,-122.9,25
20060717  0600,21.0,-123.9,25
20060717  1200,21.2,-124.9,25
20060717  1800,21.3,-125.9,25
20060718  0000,21.3,-127.0,25
20060718  0600,21.3,-127.9,25
20060718  1200,21.2,-128.7,25
20060718  1800,21.1,-129.4,25
20060719  0000,21.0,-130.0,25
20060719  0600,20.9,-130.5,25
20060719  1200,20.8,-131.1,25
20060719  1800,20.7,-131.7,25
20060720  0000,20.6,-132.3,25
20060716  1800,12.3,-108.0,25
20060717  0000,12.4,-109.2,30
20060717  0600,12.4,-110.4,30
20060717  1200,12.3,-111.6,35
20060717  1800,12.3,-112.6,40
20060718  0000,12.2,-113.6,45
20060718  0600,12.2,-114.8,55
20060718  1200,12.2,-116.0,60
20060718  1800,12.1,-117.1,65
20060719  0000,11.9,-117.9,70
20060719  0600,11.8,-118.6,75
20060719  1200,11.8,-119.2,80
20060719  1800,11.8,-119.9,85
20060720  0000,11.9,-120.7,95
20060720  0600,12.2,-121.4,95
20060720  1200,12.4,-122.2,100
20060720  1800,12.6,-123.0,115
20060721  0000,13.0,-123.9,120
20060721  0600,13.1,-124.9,115
20060721  1200,13.3,-125.9,120
20060721  1800,13.3,-126.9,125
20060722  0000,13.5,-128.0,130
20060722  0600,13.7,-129.1,130
20060722  1200,13.8,-130.3,130
20060722  1800,14.0,-131.4,125
20060723  0000,14.2,-132.6,120
20060723  0600,14.5,-133.9,115
20060723  1200,14.7,-135.2,115
20060723  1800,15.1,-136.5,105
20060724  0000,15.5,-137.9,95
20060724  0600,15.9,-139.1,85
20060724  1200,16.2,-140.4,80
20060724  1800,16.2,-141.3,75
20060725  0000,16.2,-141.8,65
20060725  0600,16.2,-142.3,55
20060725  1200,16.2,-142.4,45
20060725  1800,16.2,-142.6,35
20060726  0000,16.2,-142.8,30
20060726  0600,16.2,-142.9,30
20060726  1200,16.2,-143.1,25
20060726  1800,16.1,-143.6,25
20060727  0000,16.2,-144.4,25
20060727  0600,16.3,-145.1,25
20060727  1200,16.9,-146.6,25
20060727  1800,17.2,-147.4,25
20060728  0000,17.4,-148.8,25
20060728  0600,17.6,-150.1,25
20060728  1200,17.8,-151.8,25
20060721  1200,11.9,-103.0,25
20060721  1800,12.5,-103.1,25
20060722  0000,13.1,-103.4,30
20060722  0600,13.8,-103.7,35
20060722  1200,14.9,-104.3,35
20060722  1800,15.9,-104.6,35
20060723  0000,16.8,-105.3,40
20060723  0600,17.3,-106.3,45
20060723  1200,17.9,-107.0,50
20060723  1800,18.0,-107.7,55
20060724  0000,18.1,-108.4,50
20060724  0600,18.3,-109.2,45
20060724  1200,18.6,-109.6,45
20060724  1800,19.0,-110.1,45
20060725  0000,19.5,-110.4,45
20060725  0600,19.9,-110.7,50
20060725  1200,20.3,-111.0,50
20060725  1800,21.4,-111.3,50
20060726  0000,22.5,-111.5,55
20060726  0600,23.6,-112.2,55
20060726  1200,24.4,-113.1,55
20060726  1800,25.1,-114.1,50
20060727  0000,25.6,-115.3,45
20060727  0600,26.3,-116.5,35
20060727  1200,26.9,-117.8,25
20060727  1800,27.2,-118.7,25
20060728  0000,27.9,-119.5,25
20060728  0600,28.0,-120.3,25
20060728  1200,28.0,-121.1,20
20060728  1800,27.9,-121.8,20
20060729  0000,27.6,-122.5,20
20060729  0600,27.4,-123.3,20
20060729  1200,27.5,-124.1,20
20060729  1800,27.9,-124.7,20
20060730  0000,28.4,-125.1,20
20060730  0600,29.0,-125.3,20
20060730  1200,29.7,-125.2,20
20060730  1800,30.3,-125.2,15
20060731  0000,30.6,-125.2,15
20060731  0600,30.8,-125.2,15
20060731  1200,31.0,-125.3,15
20060731  1800,14.1,-121.4,30
20060801  0000,14.3,-122.6,35
20060801  0600,14.6,-123.8,35
20060801  1200,14.8,-125.2,40
20060801  1800,14.7,-126.6,45
20060802  0000,14.8,-127.9,45
20060802  0600,14.8,-129.2,45
20060802  1200,14.8,-130.5,40
20060802  1800,15.0,-132.0,35
20060803  0000,15.2,-133.5,30
20060803  0600,15.2,-135.0,30
20060803  1200,15.1,-136.5,25
20060803  1800,15.0,-138.2,25
20060804  0000,15.0,-139.6,25
20060804  0600,14.9,-141.2,25
20060804  1200,14.9,-142.7,25
20060804  1800,14.8,-144.1,25
20060805  0000,14.6,-145.7,25
20060805  0600,14.4,-147.3,25
20060805  1200,14.4,-149.0,25
20060805  1800,14.7,-150.7,25
20060801  0000,12.8,-103.8,30
20060801  0600,13.3,-104.4,30
20060801  1200,13.8,-105.1,35
20060801  1800,14.1,-105.5,35
20060802  0000,14.4,-105.8,35
20060802  0600,14.7,-106.2,30
20060802  1200,14.9,-106.6,30
20060802  1800,15.0,-107.0,30
20060803  0000,15.2,-107.5,25
20060803  0600,15.3,-108.1,25
20060803  1200,15.4,-108.8,25
20060803  1800,15.7,-109.6,25
20060804  0000,16.2,-110.2,20
20060804  0600,16.9,-110.8,20
20060804  1200,17.4,-111.3,20
20060804  1800,17.7,-111.7,20
20060805  0000,17.8,-112.2,20
20060815  1800,12.9,-113.5,30
20060816  0000,13.0,-114.6,35
20060816  0600,13.1,-115.6,40
20060816  1200,13.3,-116.4,50
20060816  1800,13.7,-117.2,55
20060817  0000,14.1,-118.1,60
20060817  0600,14.4,-119.3,65
20060817  1200,14.6,-120.5,75
20060817  1800,14.8,-121.6,80
20060818  0000,15.2,-122.8,85
20060818  0600,15.6,-124.0,95
20060818  1200,16.0,-125.2,90
20060818  1800,16.4,-126.4,90
20060819  0000,16.8,-127.5,90
20060819  0600,17.2,-128.6,90
20060819  1200,17.6,-129.6,80
20060819  1800,18.1,-130.6,75
20060820  0000,18.6,-131.5,75
20060820  0600,19.1,-132.3,70
20060820  1200,19.6,-133.1,60
20060820  1800,20.1,-133.9,50
20060821  0000,20.7,-134.4,45
20060821  0600,21.1,-134.7,45
20060821  1200,21.6,-135.0,45
20060821  1800,22.0,-135.3,45
20060822  0000,22.5,-135.6,45
20060822  0600,22.6,-136.1,40
20060822  1200,22.7,-136.6,35
20060822  1800,22.8,-137.1,35
20060823  0000,22.8,-137.8,30
20060823  0600,22.7,-138.7,30
20060823  1200,22.7,-139.7,25
20060823  1800,22.9,-140.8,25
20060824  0000,23.1,-142.0,25
20060824  0600,23.3,-143.5,25
20060817  0000,10.3,-147.9,25
20060817  0600,10.3,-148.7,25
20060817  1200,10.3,-149.7,25
20060817  1800,10.3,-150.6,25
20060818  0000,10.3,-151.6,25
20060818  0600,10.3,-152.6,25
20060818  1200,10.3,-153.6,25
20060818  1800,10.3,-154.5,25
20060819  0000,10.3,-155.4,25
20060819  0600,10.3,-156.3,25
20060819  1200,10.3,-157.1,25
20060819  1800,10.3,-157.9,25
20060820  0000,10.4,-158.7,30
20060820  0600,10.5,-159.4,30
20060820  1200,10.7,-160.2,40
20060820  1800,11.0,-161.7,45
20060821  0000,11.2,-163.2,65
20060821  0600,11.5,-164.4,70
20060821  1200,12.0,-165.2,75
20060821  1800,12.7,-166.0,100
20060822  0000,13.5,-167.0,115
20060822  0600,14.5,-167.7,115
20060822  1200,15.2,-168.5,115
20060822  1800,15.8,-169.3,90
20060823  0000,16.4,-169.8,90
20060823  0600,16.9,-170.2,90
20060823  1200,17.3,-170.5,90
20060823  1800,17.6,-170.9,90
20060824  0000,18.1,-171.4,90
20060824  0600,18.5,-172.0,100
20060824  1200,18.6,-172.5,115
20060824  1800,18.8,-172.9,125
20060825  0000,19.0,-173.4,125
20060825  0600,19.1,-174.2,140
20060825  1200,19.2,-174.7,140
20060825  1800,19.2,-175.1,140
20060826  0000,19.3,-175.8,130
20060826  0600,19.1,-176.5,130
20060826  1200,18.8,-177.4,140
20060826  1800,18.3,-178.0,140
20060827  0000,17.9,-178.9,140
20060827  0600,17.6,-179.8,140
20060827  1200,17.2,179.3,140
20060827  1800,16.8,178.4,140
20060828  0000,16.6,177.6,135
20060828  0600,16.3,176.7,130
20060828  1200,16.2,175.8,130
20060828  1800,16.1,175.0,130
20060829  0000,16.0,174.2,130
20060829  0600,16.2,173.4,135
20060829  1200,16.2,172.6,130
20060829  1800,16.4,171.9,140
20060830  0000,16.7,171.1,140
20060830  0600,17.1,170.4,140
20060830  1200,17.5,169.7,135
20060830  1800,18.0,169.1,135
20060831  0000,18.6,168.2,135
20060831  0600,19.3,167.3,135
20060831  1200,19.7,166.2,135
20060831  1800,20.2,165.3,135
20060901  0000,20.7,164.4,130
20060901  0600,21.2,163.5,130
20060901  1200,21.8,162.2,115
20060901  1800,22.3,160.7,115
20060902  0000,23.0,159.3,115
20060902  0600,23.5,157.8,110
20060902  1200,24.0,156.2,110
20060902  1800,24.5,154.8,110
20060903  0000,25.1,153.5,100
20060903  0600,25.7,152.5,100
20060903  1200,26.5,151.7,95
20060903  1800,27.5,150.8,95
20060904  0000,28.5,149.9,85
20060904  0600,29.6,148.9,70
20060904  1200,30.9,148.0,65
20060904  1800,32.5,147.5,65
20060905  0000,34.0,146.9,60
20060905  0600,35.7,147.4,60
20060905  1200,37.5,148.8,60
20060905  1800,39.7,150.8,55
20060906  0000,42.2,153.3,50
20060906  0600,45.0,156.7,35
20060906  1200,47.6,161.2,30
20060821  1200,12.0,-101.8,30
20060821  1800,12.5,-102.8,35
20060822  0000,13.1,-103.9,40
20060822  0600,13.8,-105.0,50
20060822  1200,14.4,-106.1,60
20060822  1800,15.1,-107.3,70
20060823  0000,16.2,-108.6,80
20060823  0600,17.1,-109.8,95
20060823  1200,17.8,-111.0,105
20060823  1800,18.5,-112.1,105
20060824  0000,19.2,-113.1,105
20060824  0600,19.7,-113.8,95
20060824  1200,20.2,-114.6,90
20060824  1800,20.6,-115.2,85
20060825  0000,20.9,-115.7,80
20060825  0600,21.2,-116.2,75
20060825  1200,21.5,-116.7,70
20060825  1800,21.8,-117.1,65
20060826  0000,22.1,-117.6,55
20060826  0600,22.4,-118.2,50
20060826  1200,22.6,-118.7,50
20060826  1800,22.8,-119.1,45
20060827  0000,23.1,-119.5,40
20060827  0600,23.3,-119.9,35
20060827  1200,23.5,-120.5,30
20060827  1800,23.7,-121.1,30
20060828  0000,23.8,-121.6,25
20060828  0600,23.9,-122.0,25
20060828  1200,24.0,-122.3,25
20060828  1800,23.9,-122.6,25
20060829  0000,23.8,-122.8,20
20060829  0600,23.7,-123.0,20
20060828  0000,12.3,-94.6,25
20060828  0600,12.7,-95.0,30
20060828  1200,13.1,-95.6,35
20060828  1800,13.5,-96.3,40
20060829  0000,13.7,-96.9,50
20060829  0600,13.8,-97.5,60
20060829  1200,14.0,-98.3,75
20060829  1800,14.2,-99.2,95
20060830  0000,14.9,-100.0,100
20060830  0600,15.3,-100.8,105
20060830  1200,16.0,-101.7,115
20060830  1800,16.9,-102.7,115
20060831  0000,17.6,-104.0,110
20060831  0600,18.2,-104.9,110
20060831  1200,19.0,-105.8,100
20060831  1800,20.2,-106.7,90
20060901  0000,21.0,-107.6,90
20060901  0600,21.4,-108.4,100
20060901  1200,21.7,-108.7,100
20060901  1800,22.4,-108.9,95
20060902  0000,23.2,-109.2,95
20060902  0200,23.3,-109.4,95
20060902  0600,23.8,-109.9,85
20060902  1200,24.2,-110.5,70
20060902  1800,24.8,-111.0,60
20060903  0000,25.4,-111.4,50
20060903  0600,26.0,-111.8,45
20060903  1200,26.7,-112.3,40
20060903  1800,27.4,-112.5,35
20060904  0000,27.9,-112.9,30
20060904  0600,28.4,-113.1,25
20060904  1200,28.9,-113.2,25
20060830  0000,16.0,-114.0,30
20060830  0600,16.3,-114.4,35
20060830  1200,16.5,-114.9,50
20060830  1800,16.7,-115.2,55
20060831  0000,17.0,-115.5,60
20060831  0600,17.4,-115.9,65
20060831  1200,17.8,-116.4,70
20060831  1800,18.2,-116.9,65
20060901  0000,18.7,-117.4,65
20060901  0600,19.0,-117.9,60
20060901  1200,19.0,-118.2,50
20060901  1800,19.0,-118.6,45
20060902  0000,19.0,-118.7,40
20060902  0600,18.9,-118.8,35
20060902  1200,18.7,-118.8,35
20060902  1800,18.4,-118.7,30
20060903  0000,18.3,-118.5,30
20060903  0600,18.2,-118.3,30
20060903  1200,18.1,-118.1,30
20060903  1800,17.8,-118.1,35
20060904  0000,17.7,-118.3,35
20060904  0600,17.1,-118.3,30
20060904  1200,16.8,-118.7,30
20060904  1800,16.4,-119.1,30
20060905  0000,16.2,-119.5,30
20060905  0600,16.2,-120.2,30
20060905  1200,16.3,-121.1,35
20060905  1800,16.5,-122.3,35
20060906  0000,16.5,-123.5,35
20060906  0600,16.5,-124.8,35
20060906  1200,16.5,-126.1,30
20060906  1800,16.5,-127.3,30
20060907  0000,16.4,-128.2,30
20060907  0600,16.3,-129.0,25
20060907  1200,16.2,-129.6,25
20060907  1800,16.0,-130.1,25
20060908  0000,15.5,-130.9,25
20060908  0600,15.2,-131.4,20
20060908  1200,15.0,-131.8,20
20060908  1800,15.0,-131.9,20
20060909  0000,15.0,-132.0,20
20060909  0600,15.0,-132.5,20
20060913  1800,15.7,-101.0,30
20060914  0000,16.2,-101.7,30
20060914  0600,16.7,-102.6,35
20060914  1200,17.2,-103.6,40
20060914  1800,17.6,-104.4,45
20060915  0000,18.0,-105.0,50
20060915  0600,18.5,-105.6,55
20060915  1200,19.3,-106.0,65
20060915  1800,20.3,-106.3,75
20060916  0000,21.3,-106.6,90
20060916  0600,22.2,-106.9,100
20060916  1200,23.1,-107.1,110
20060916  1800,24.0,-107.2,110
20060916  1915,24.1,-107.2,110
20060917  0000,24.7,-107.3,65
20060917  0600,25.4,-107.4,35
20060917  1200,26.0,-107.5,25
20060916  0000,17.3,-115.0,25
20060916  0600,17.4,-114.7,30
20060916  1200,17.7,-114.4,35
20060916  1800,18.1,-114.2,35
20060917  0000,18.5,-114.1,40
20060917  0600,18.7,-114.0,40
20060917  1200,18.9,-113.9,40
20060917  1800,19.0,-113.8,35
20060918  0000,19.1,-113.7,35
20060918  0600,19.5,-113.6,30
20060918  1200,19.9,-113.6,25
20060918  1800,20.3,-113.7,25
20060919  0000,20.7,-113.9,25
20060919  0600,21.2,-114.2,25
20060919  1200,21.8,-114.6,25
20060919  1800,22.5,-114.8,25
20060920  0000,23.2,-114.9,25
20060920  0600,23.6,-114.6,25
20060920  1200,24.0,-114.3,25
20060920  1800,24.3,-113.8,20
20060921  0000,24.4,-113.2,20
20060921  0600,24.4,-112.6,20
20060914  1200,10.6,-145.3,20
20060914  1800,10.7,-146.0,20
20060915  0000,10.9,-146.6,20
20060915  0600,11.4,-147.2,20
20060915  1200,11.8,-147.5,25
20060915  1800,11.9,-147.6,25
20060916  0000,11.8,-147.7,25
20060916  0600,11.4,-147.8,25
20060916  1200,10.8,-147.9,25
20060916  1800,10.3,-148.5,25
20060917  0000,10.1,-149.3,25
20060917  0600,10.0,-149.9,25
20060917  1200,10.0,-150.7,25
20060917  1800,9.9,-151.6,20
20060918  0000,9.8,-152.3,20
20060918  0600,9.7,-153.0,20
20060918  1200,9.7,-153.9,25
20060918  1800,9.8,-155.1,25
20060919  0000,9.9,-156.6,25
20060919  0600,9.9,-157.5,30
20060919  1200,9.9,-158.4,30
20060919  1800,10.1,-160.0,30
20060920  0000,10.3,-161.2,30
20060920  0600,10.6,-162.3,30
20060920  1200,10.9,-163.6,25
20060920  1800,11.2,-165.0,25
20060921  0000,11.9,-166.4,20
20060921  0600,12.4,-168.0,20
20060921  1200,12.8,-169.4,20
20060921  1800,13.0,-171.1,20
20060922  0000,13.0,-172.4,20
20060922  0600,13.2,-173.5,20
20060922  1200,13.3,-174.5,20
20060922  1800,13.1,-175.4,20
20060923  0000,12.9,-176.4,20
20060923  0600,12.8,-177.5,20
20060923  1200,12.6,-178.4,20
20060923  1800,12.4,-179.6,20
20060925  0000,10.0,-172.9,15
20060925  0600,10.2,-173.9,15
20060925  1200,10.3,-174.8,15
20060925  1800,10.4,-175.7,15
20060926  0000,10.5,-176.3,15
20060926  0600,10.7,-176.8,20
20060926  1200,10.9,-177.2,25
20060926  1800,11.2,-177.8,30
20060927  0000,11.5,-178.4,30
20060927  0600,11.8,-179.3,25
20061009  0000,14.2,-117.2,30
20061009  0600,14.8,-117.5,30
20061009  1200,15.4,-117.7,35
20061009  1800,15.9,-117.8,40
20061010  0000,16.2,-117.9,45
20061010  0600,16.4,-118.0,40
20061010  1200,16.5,-118.1,35
20061010  1800,16.6,-117.9,30
20061011  0000,16.7,-117.3,30
20061011  0600,16.7,-116.4,25
20061011  1200,16.8,-115.7,25
20061011  1800,17.0,-115.2,25
20061012  0000,16.9,-114.6,25
20061012  0600,16.5,-114.0,25
20061012  1200,16.2,-113.3,25
20061012  1800,15.9,-112.6,25
20061013  0000,15.7,-112.2,25
20061013  0600,15.4,-111.9,25
20061013  1200,15.1,-111.4,30
20061013  1800,14.8,-110.6,30
20061014  0000,14.7,-109.7,30
20061014  0600,14.5,-108.0,30
20061014  1200,14.5,-105.9,30
20061014  1800,15.3,-104.3,30
20061015  0000,16.4,-103.6,30
20061015  0600,17.6,-103.6,30
20061015  1200,18.2,-104.1,30
20061015  1800,18.8,-104.6,30
20061009  1800,12.8,-127.7,30
20061010  0000,13.3,-127.7,30
20061010  0600,13.9,-127.7,35
20061010  1200,14.5,-127.3,40
20061010  1800,15.4,-126.5,40
20061011  0000,16.2,-125.7,40
20061011  0600,16.6,-125.3,35
20061011  1200,16.8,-124.7,30
20061011  1800,17.1,-123.9,30
20061012  0000,17.3,-123.1,30
20061012  0600,17.5,-122.3,25
20061012  1200,17.6,-121.5,25
20061012  1800,17.6,-120.6,25
20061013  0000,17.3,-119.9,25
20061013  0600,17.1,-119.3,25
20061013  1200,16.8,-118.6,25
20061013  1800,16.5,-117.8,25
20061014  0000,16.2,-116.8,25
20061014  0600,15.8,-115.6,20
20061014  1200,15.3,-114.4,20
20061014  1800,14.8,-113.0,20
20061007  1800,11.3,-159.0,25
20061008  0000,11.3,-159.4,25
20061008  0600,11.3,-159.6,25
20061008  1200,11.3,-159.8,25
20061008  1800,11.2,-159.9,25
20061009  0000,11.1,-160.0,25
20061009  0600,10.9,-160.2,25
20061009  1200,10.6,-160.3,25
20061009  1800,10.2,-160.5,25
20061010  0000,9.9,-160.9,25
20061010  0600,9.4,-161.1,25
20061010  1200,9.0,-161.4,25
20061010  1800,8.9,-161.8,25
20061011  0000,8.8,-162.2,25
20061011  0600,8.6,-162.6,25
20061011  1200,8.4,-163.0,25
20061011  1800,8.4,-163.6,25
20061012  0000,8.7,-164.1,25
20061012  0600,9.0,-164.8,25
20061012  1200,9.3,-165.8,25
20061012  1800,9.8,-166.5,25
20061013  0000,10.9,-166.9,25
20061013  0600,12.0,-166.9,25
20061013  1200,12.9,-166.7,25
20061013  1800,13.7,-166.3,30
20061014  0000,13.8,-166.0,30
20061014  0600,13.5,-165.7,30
20061014  1200,13.0,-165.5,25
20061014  1800,12.3,-165.7,20
20061015  0000,11.9,-165.3,20
20061015  0600,11.7,-164.8,20
20061015  1200,11.8,-163.8,20
20061015  1800,12.0,-162.7,20
20061016  0000,12.7,-161.3,20
20061016  0600,13.3,-161.0,20
20061016  1200,14.2,-160.5,20
20061016  1800,14.5,-159.7,20
20061021  0600,15.7,-105.6,30
20061021  1200,15.8,-106.5,35
20061021  1800,15.8,-107.4,45
20061022  0000,15.8,-108.1,45
20061022  0600,15.8,-108.8,45
20061022  1200,15.8,-109.5,45
20061022  1800,15.8,-110.2,55
20061023  0000,15.9,-110.8,75
20061023  0600,16.1,-111.3,85
20061023  1200,16.3,-111.4,90
20061023  1800,16.7,-111.6,80
20061024  0000,17.3,-111.8,75
20061024  0600,18.0,-111.9,65
20061024  1200,18.8,-111.9,55
20061024  1800,19.8,-111.5,45
20061025  0000,20.8,-111.0,40
20061025  0600,21.7,-110.3,40
20061025  1200,22.6,-109.3,40
20061025  1800,23.7,-108.1,35
20061026  0000,24.5,-108.1,25
20061026  0400,24.8,-108.1,25
20061026  0600,25.0,-108.1,25
20061026  1200,16.7,-103.9,30
20061026  1800,16.8,-104.3,30
20061027  0000,16.7,-104.7,30
20061027  0600,16.4,-104.8,25
20061027  1200,16.0,-105.0,25
20061027  1800,15.7,-105.5,25
20061028  0000,15.8,-105.8,20
20061028  0600,15.9,-106.3,20
20061028  1200,16.0,-106.8,20
20061028  1800,16.0,-107.7,20
20061029  0000,16.0,-108.7,20
20061108  0600,12.7,-103.7,30
20061108  1200,13.3,-104.1,30
20061108  1800,13.8,-104.5,30
20061109  0000,14.3,-104.9,30
20061109  0600,14.8,-105.2,35
20061109  1200,15.1,-105.4,35
20061109  1800,15.3,-105.5,35
20061110  0000,15.5,-105.6,30
20061110  0600,15.7,-105.7,25
20061110  1200,15.9,-105.9,25
20061110  1800,16.0,-106.3,25
20061111  0000,13.1,-112.3,30
20061111  0600,12.9,-113.1,30
20061111  1200,12.7,-113.7,30
20061113  1800,12.3,-103.6,25
20061114  0000,12.7,-104.0,25
20061114  0600,12.9,-104.2,30
20061114  1200,13.0,-104.3,35
20061114  1800,13.0,-104.5,50
20061115  0000,12.8,-104.4,55
20061115  0600,12.6,-104.3,60
20061115  1200,12.3,-104.0,80
20061115  1800,12.0,-103.7,95
20061116  0000,12.1,-103.3,90
20061116  0600,12.3,-103.1,90
20061116  1200,12.8,-102.9,85
20061116  1800,13.2,-102.8,70
20061117  0000,13.5,-102.8,70
20061117  0600,13.7,-102.7,60
20061117  1200,13.8,-102.6,50
